Moving1.Position[deg],I_aa[A],FluxLinkage(A)[Wb]
-6.60000000000001,38.3333333333333,0.303974
-5.7,38.3333333333333,0.313462
-4.8,38.3333333333333,0.328566
-3.9,38.3333333333333,0.34371
-3,38.3333333333333,0.355628
-2.1,38.3333333333333,0.364509
-1.2,38.3333333333333,0.368691
-0.300000000000001,38.3333333333333,0.369348
0.600000000000001,38.3333333333333,0.365082
1.5,38.3333333333333,0.356868
2.4,38.3333333333333,0.343506
3.3,38.3333333333333,0.325732
4.2,38.3333333333333,0.303897
5.1,38.3333333333333,0.276056
6.00000000000001,38.3333333333333,0.244559
6.90000000000002,38.3333333333333,0.20749
7.80000000000002,38.3333333333333,0.164859
8.70000000000002,38.3333333333333,0.123768
9.60000000000002,38.3333333333333,0.0991808
10.5,38.3333333333333,0.0871019
11.4,38.3333333333333,0.0804736
12.3,38.3333333333333,0.0761217
13.2,38.3333333333333,0.0734751
14.1,38.3333333333333,0.0720257
15,38.3333333333333,0.0714657
15.9,38.3333333333333,0.0719902
16.8,38.3333333333333,0.0734785
17.7,38.3333333333333,0.0761098
18.6,38.3333333333333,0.0804641
19.5,38.3333333333333,0.0871466
20.4,38.3333333333333,0.099094
21.3,38.3333333333333,0.12336
22.2,38.3333333333333,0.165188
23.1,38.3333333333333,0.207692
24,38.3333333333333,0.244885
24.9,38.3333333333333,0.276014
25.8,38.3333333333333,0.303951
26.7,38.3333333333333,0.325511
27.6,38.3333333333333,0.34361
28.5,38.3333333333333,0.356535
29.4,38.3333333333333,0.365058
30.3,38.3333333333333,0.369444
31.2,38.3333333333333,0.368686
32.1,38.3333333333333,0.36444
33,38.3333333333333,0.355715
33.9,38.3333333333333,0.343677
34.8,38.3333333333333,0.328458
35.7,38.3333333333333,0.31345
36.6,38.3333333333333,0.303482
37.5,38.3333333333333,0.300741
38.4,38.3333333333333,0.304645
39.3,38.3333333333333,0.313424
40.2,38.3333333333333,0.32853
41.1,38.3333333333333,0.343704
42,38.3333333333333,0.35572
42.9,38.3333333333333,0.364418
43.8,38.3333333333333,0.368642
44.7,38.3333333333333,0.369344
45.6,38.3333333333333,0.365074
46.5,38.3333333333333,0.35669
47.4,38.3333333333333,0.343738
48.3,38.3333333333333,0.325962
49.2000000000001,38.3333333333333,0.303634
50.1000000000001,38.3333333333333,0.275882
51.0000000000001,38.3333333333333,0.24483
51.9,38.3333333333333,0.207545
52.8,38.3333333333333,0.165058
