"Time [ns]","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='0A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='12.7777777777778A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='25.5555555555556A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='38.3333333333333A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='51.1111111111111A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='63.8888888888889A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='76.6666666666667A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='89.4444444444445A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='102.222222222222A'","Moving1.Position [deg]","FluxLinkage(A) [Wb] - I_aa='115A'"
3120000,39.3,0,39.3,0.1035118711255,39.3,0.208820904654301,39.3,0.313424073538137,39.3,0.410257033481088,39.3,0.488341358494328,39.3,0.556128662884716,39.3,0.619101506825046,39.3,0.678563459065806,39.3,0.730997961448487
3180000,40.2,0,40.2,0.108475432136095,40.2,0.218843792568794,40.2,0.32853044316947,40.2,0.429940706612751,40.2,0.509793376712655,40.2,0.574206762334695,40.2,0.633421363184429,40.2,0.688842225098672,40.2,0.737242765456818
3240000,41.1,0,41.1,0.113499842338627,41.1,0.229001844054695,41.1,0.343704294202434,41.1,0.450903452844639,41.1,0.536470125137102,41.1,0.602231562134924,41.1,0.65973845632712,41.1,0.710502680720981,41.1,0.753891910497048
3300000,42,0,42,0.117481175135086,42,0.237056762945074,42,0.355719906470157,42,0.468497445267554,42,0.562192725572621,42,0.630202386669059,42,0.685083431949946,42,0.730658818623199,42,0.769766241859258
3360000,42.9,0,42.9,0.120373123836792,42.9,0.242911064226299,42.9,0.364417782671784,42.9,0.481643629942491,42.9,0.581369799481231,42.9,0.655311993966298,42.9,0.706450260424291,42.9,0.747769992825551,42.9,0.782538341446119
3420000,43.8,0,43.8,0.121781553347424,43.8,0.245765914774262,43.8,0.36864248478215,43.8,0.488356247299686,43.8,0.591523257628131,43.8,0.664788859185971,43.8,0.716533569970235,43.8,0.754176173073094,43.8,0.783523531303407
3480000,44.7,0,44.7,0.122025957103454,44.7,0.246259692954261,44.7,0.369344348470689,44.7,0.489108514759721,44.7,0.590466427112734,44.7,0.662764573018137,44.7,0.709379375461748,44.7,0.742671248453196,44.7,0.768998079297521
3540000,45.6,0,45.6,0.120624574483308,45.6,0.243421268658772,45.6,0.365073836940786,45.6,0.482041523646049,45.6,0.576939961486456,45.6,0.642063844326318,45.6,0.68240961229704,45.6,0.71358609929193,45.6,0.740198139702551
3600000,46.5,0,46.5,0.117869348530658,46.5,0.237842073655215,46.5,0.356689777910611,46.5,0.468005979771351,46.5,0.553456364588468,46.5,0.608058809652764,46.5,0.64598339072226,46.5,0.677516600562172,46.5,0.705278253456107
3660000,47.4,0,47.4,0.113617362111445,47.4,0.229238702551832,47.4,0.3437377541792,47.4,0.446990728540645,47.4,0.520398947783526,47.4,0.566989033403132,47.4,0.602837552500625,47.4,0.634723168107778,47.4,0.664235175122986
3720000,48.3,0,48.3,0.107810948850954,48.3,0.217495238849582,48.3,0.325961877517702,48.3,0.419833013108241,48.3,0.482503057800968,48.3,0.523438567415603,48.3,0.557853542864214,48.3,0.589598616918526,48.3,0.619588617633261
3780000,49.2000000000001,0,49.2000000000001,0.100624091996376,49.2000000000001,0.202960147393987,49.2000000000001,0.303633533475324,49.2000000000001,0.386883463740785,49.2000000000001,0.439852504264998,49.2000000000001,0.477451924827182,49.2000000000001,0.511695096213729,49.2000000000001,0.543525221324777,49.2000000000001,0.573584677862075
3840000,50.1000000000001,0,50.1000000000001,0.0916721196564579,50.1000000000001,0.184859434426245,50.1000000000001,0.275882191466531,50.1000000000001,0.349012050370807,50.1000000000001,0.394698313544825,50.1000000000001,0.430916909866741,50.1000000000001,0.464281088051602,50.1000000000001,0.496137568411782,50.1000000000001,0.526685820857544
